name,street,city,country,rating,reviews,lat,long
The Jigger Bar,Schallmooser Hauptstraße 44,Salzburg,Austria,4.8,178,47.8068417,13.0580258
Havana - CocktailBar,Priesterhausgasse 14,Salzburg,Austria,4.4,328,47.803121,13.0452514
pepe - cocktailbar,Steingasse 3,Salzburg,Austria,4.3,217,47.8015392,13.0454275
StageBar Salzburg,Chiemseegasse 2,Salzburg,Austria,4.8,380,47.7977237,13.0491976
Fridrich Bar,Steingasse 15,Salzburg,Austria,4.7,42,47.8012094,13.0462064
Amadeus Salzach-Insel-Bar,Franz Josef Kai,Salzburg,Austria,4.4,230,47.8020141,13.0393223
Watzmann Cultbar,Giselakai 17A,Salzburg,Austria,3.9,297,47.8010268,13.0468737
Burdock Punch&Cocktails,Schallmooser Hauptstraße 10A,Salzburg,Austria,4.9,195,47.8052771,13.0515148
MENTOR'S BAR KULTUR,Gstättengasse 3,Salzburg,Austria,4.4,245,47.8005094,13.0392693
Darwin's Cafe Bar,Steingasse 1,Salzburg,Austria,4.5,615,47.8016214,13.0453073
Harry Bär,Paris-Lodron-Straße 16,Salzburg,Austria,4.8,157,47.8054224,13.0472852
Monkeys cafe.bar,Imbergstraße 2A,Salzburg,Austria,4.4,805,47.8006577,13.0480817
Mirjams Pub,Schallmooser Hauptstraße 12,Salzburg,Austria,4.4,80,47.8053495,13.0517038
"Bricks Music Bar Salzburg - Billard, Darts & Rockmusic",Lederergasse 8,Salzburg,Austria,4.6,320,47.8021102,13.0446921
Sketch Bar,Makartplatz,Salzburg,Austria,3.8,8,47.8030284,13.0445016
Rockhouse-Bar,Schallmooser Hauptstraße 46,Salzburg,Austria,4.3,42,47.806926250000004,13.05889792745566
Flip,Gstättengasse 17,Salzburg,Austria,4.6,271,47.801122449999994,13.038932684080077
bollicine Salzburg- aperitivo e bar,Getreidegasse 34,Salzburg,Austria,4.9,339,47.8001545,13.0415703
